combo,penalty_type,goal_type,n_seeds,final_reward_mean,final_reward_sem,final_reward_seed_std,final_goalrate_mean,final_goalrate_sem,final_termrate_mean,final_eplen_mean
penalty=low / goal=high,low,high,5,9.821329735893487,0.1339071274269996,0.2994254395984976,0.6387805440794864,0.005019892615026741,0.21550470544793882,308.66540454417355
penalty=low / goal=esc,low,esc,5,9.70891479054003,0.25344755280932524,0.5667259568126191,0.6451070106162942,0.010834460053902985,0.213599794178798,320.8192394602064
penalty=high / goal=esc,high,esc,5,8.43052601782435,0.21626153559896588,0.4835754945177784,0.6550027626665501,0.008658082205859442,0.11586850490306473,390.21651711267816
penalty=esc / goal=esc,esc,esc,5,8.402504302443312,0.1126288670622101,0.25184580297988884,0.6567098619410443,0.002521041622642583,0.12490050330461566,388.054811509811
penalty=esc / goal=high,esc,high,5,8.369801127543035,0.19973766007818416,0.4466269856015658,0.6526800523101518,0.00646215287244736,0.13737421485432166,388.92649092959084
penalty=high / goal=high,high,high,5,8.33728002619431,0.11473543117968472,0.25655622354552393,0.6476605292262625,0.004540278653509839,0.12432267014352112,399.52682846407316
penalty=low / goal=low,low,low,5,4.287361289484311,0.11192110380016117,0.2502631962139704,0.6576247833839679,0.007319249078991469,0.17932556177796394,327.4834860451625
penalty=esc / goal=low,esc,low,5,2.8407322967223965,0.1315707619785249,0.2942011676354264,0.6611270244951424,0.005779444836852598,0.10962376284243976,405.55431104701336
penalty=high / goal=low,high,low,5,2.6747427085564324,0.1629519424632465,0.3643716204134537,0.6493591246951835,0.007946150648414065,0.10463792675612604,414.5900720096738
